"latitude","longitude","address","neighborhood"
"39.15973703","-86.62849487","411 S Cave RD","unknown"
"39.15929047","-86.62874108","455 S Cave RD","unknown"
"39.15848426","-86.62829134","531 S Cave RD","unknown"
"39.15813353","-86.62776815","577 S Cave RD","unknown"
"39.15778196","-86.62843693","583 S Cave RD","unknown"
"39.15739192","-86.62839359","589 S Cave RD","unknown"
"39.15690458","-86.62733879","593 S Cave RD","unknown"
"39.15682966","-86.62924709","590 S Cave RD","unknown"
"39.15628303","-86.62847479","651 S Cave RD","unknown"
"39.15633208","-86.62978983","7140 W Holland Hill LN","unknown"
"39.17351463","-86.49216128","740 N Woodbridge DR","unknown"
"39.15665871","-86.63616003","7190 W Holland Hill LN","unknown"
"39.15583305","-86.63922971","7229 W Holland Hill LN","unknown"
"39.15671232","-86.64157632","7220 W Holland Hill LN","unknown"
"39.15572117","-86.64085255","7240 W Holland Hill LN","unknown"
"39.15524006","-86.64140921","7260 W Holland Hill LN","unknown"
"39.15413878","-86.63343603","7179 W Cavewood CT","unknown"
"39.15403473","-86.63279843","7171 W Cavewood CT","unknown"
"39.17355587","-86.49217152","742 N Woodbridge DR","unknown"
"39.15461661","-86.6327524","7080 W Cavewood CT","unknown"
"39.15461181","-86.63221995","7076 W Cavewood CT","unknown"
"39.15399132","-86.63222391","7161 W Cavewood CT","unknown"
"39.15463982","-86.63165556","7074 W Cavewood CT","unknown"
"39.15468995","-86.63112981","7070 W Cavewood CT","unknown"
"39.15395959","-86.63112038","7071 W Cavewood CT","unknown"
"39.15469015","-86.63047391","7060 W Cavewood CT","unknown"
"39.15470181","-86.62994135","7050 W Cavewood CT","unknown"
"39.15405104","-86.62992437","7121 W Cavewood CT","unknown"
"39.15412555","-86.62931737","7111 W Cavewood CT","unknown"
"39.17359427","-86.49216414","744 N Woodbridge DR","unknown"
"39.15335379","-86.6292518","1030 S Cave RD","unknown"
"39.15293111","-86.62928625","1050 S Cave RD","unknown"
"39.15188378","-86.63320708","7340 W Gifford RD","unknown"
"39.1520933","-86.63414019","7360 W Gifford RD","unknown"
"39.15061474","-86.63447752","7323 W Gifford RD","unknown"
"39.15196431","-86.63557971","7400 W Gifford RD","unknown"
"39.15131101","-86.63561911","7377 W Gifford RD","unknown"
"39.15200364","-86.63652801","7440 W Gifford RD","unknown"
"39.15133148","-86.63737854","7455 W Gifford RD","unknown"
"39.15124462","-86.64124379","7675 W Gifford RD","unknown"
"39.1736327","-86.49216382","746 N Woodbridge DR","unknown"
"39.15180123","-86.64032349","7650 W Gifford RD","unknown"
"39.15122713","-86.64025304","7625 W Gifford RD","unknown"
"39.14929041","-86.63351626","7333 W Gifford RD","unknown"
"39.15017601","-86.62196609","7035 W Gifford RD","unknown"
"39.19348102","-86.59093401","4685 W Woodyard RD","unknown"
"39.19306862","-86.59015009","4661 W Woodyard RD","unknown"
"39.18850621","-86.59161436","2530 N Loesch RD","unknown"
"39.18708561","-86.59134202","2520 N Loesch RD","unknown"
"39.18667865","-86.59184583","2594 N Loesch RD","unknown"
"39.18687818","-86.59555232","4554 W Old Vernal PIKE","unknown"
"39.17208749","-86.49064595","600 N Woodbridge DR","unknown"
"39.18632254","-86.59925343","5115 W Vernal PIKE","unknown"
"39.18631711","-86.59993083","5185 W Vernal PIKE","unknown"
"39.18626732","-86.60050269","5225 W Vernal PIKE","unknown"
"39.18681589","-86.60103519","5250 W Vernal PIKE","unknown"
"39.18638453","-86.60763889","5805 W Vernal PIKE","unknown"
"39.19936637","-86.57975674","3858 W Nelson LN","unknown"
"39.19944509","-86.58018313","3866 W Nelson LN","unknown"
"39.19934259","-86.58060729","3872 W Nelson LN","unknown"
"39.19905332","-86.58101514","2757 W Nelson LN","unknown"
"39.17208413","-86.49052605","604 N Woodbridge DR","unknown"
"39.19934389","-86.58154589","3888 W Nelson LN","unknown"
"39.19951771","-86.5811071","3880 W Nelson LN","unknown"
"39.19941837","-86.58226519","3912 W Nelson LN","unknown"
"39.19758962","-86.58285332","2706 N Smith PIKE","unknown"
"39.19790507","-86.58278757","2710 N Smith PIKE","unknown"
"39.19791921","-86.5835214","2713 N Smith PIKE","unknown"
"39.19816592","-86.58279278","2720 N Smith PIKE","unknown"
"39.19843222","-86.58278736","2724 N Smith PIKE","unknown"
"39.19868481","-86.58278909","2730 N Smith PIKE","unknown"
"39.199006","-86.58277976","2738 N Smith PIKE","unknown"
"39.17206732","-86.49045918","606 N Woodbridge DR","unknown"
"39.19931084","-86.58279876","2800 N Smith PIKE","unknown"
"39.19946472","-86.5834681","2801 N Smith PIKE","unknown"
"39.19984881","-86.58276319","2820 N Smith PIKE","unknown"
"39.2007622","-86.5825591","2880 N Smith PIKE","unknown"
"39.19679591","-86.58279544","2650 N Smith PIKE","unknown"
"39.19647778","-86.5835175","2633 N Smith PIKE","unknown"
"39.19596676","-86.58343644","2609 N Smith PIKE","unknown"
"39.19598531","-86.58264241","2610 N Smith PIKE","unknown"
"39.1957578","-86.58272871","2600 N Smith PIKE","unknown"
"39.19548625","-86.58278709","2520 N Smith PIKE","unknown"
"39.17212468","-86.49040226","608 N Woodbridge DR","unknown"
"39.19550015","-86.58346797","2521 N Smith PIKE","unknown"
"39.19519531","-86.58344896","2511 N Smith PIKE","unknown"
"39.19498945","-86.58282237","2500 N Smith PIKE","unknown"
"39.1945602","-86.5819645","2448 N Smith PIKE","unknown"
"39.19427299","-86.58349078","2441 N Smith PIKE","unknown"
"39.19388657","-86.58429444","2421 N Smith PIKE","unknown"
"39.19359981","-86.58336853","2405 N Smith PIKE","unknown"
"39.19356161","-86.58278663","2404 N Smith PIKE","unknown"
"39.19295167","-86.58268511","2320 N Smith PIKE","unknown"
"39.1924413","-86.58211716","2300 1/2 N Smith PIKE","unknown"
"39.17232368","-86.4906616","640 N Woodbridge DR","unknown"
"39.19208373","-86.58516808","4484 W Woodyard RD","unknown"
"39.19135669","-86.58400891","4444 W Woodyard RD","unknown"
"39.19125047","-86.58356864","4420 W Woodyard RD","unknown"
"39.1907885","-86.58276044","4360 W Woodyard RD","unknown"
"39.19006134","-86.58158015","4300 W Woodyard RD","unknown"
"39.19042861","-86.58334866","4405 W Woodyard RD","unknown"
"39.19062487","-86.58365775","4425 W Woodyard RD","unknown"
"39.18990462","-86.58344411","2555 N Curry PIKE","unknown"
"39.18934317","-86.58248845","2550 N Curry PIKE","unknown"
"39.18969791","-86.58198141","4305 W Woodyard RD","unknown"
"39.17230965","-86.49060176","642 N Woodbridge DR","unknown"
"39.1633237","-86.46424409","4850 E Ridgewood DR","unknown"
"39.19119428","-86.585192","4485 W Woodyard RD","unknown"
"39.19218496","-86.58637049","4535 W Woodyard RD","unknown"
"39.19253656","-86.58769815","4575 W Woodyard RD","unknown"
"39.19264926","-86.58837479","4611 W Woodyard RD","unknown"
"39.1873115","-86.58249581","2500 N Curry PIKE","unknown"
"39.18806648","-86.58376407","2455 N Curry PIKE","unknown"
"39.18689965","-86.58377233","2411 N Curry PIKE","unknown"
"39.18545275","-86.58249489","2460 N Curry PIKE","unknown"
"39.18458247","-86.58250812","2454 N Curry PIKE","unknown"
"39.18546408","-86.58129886","1820 N Pioneer LN","unknown"
"39.17238349","-86.4905447","644 N Woodbridge DR","unknown"
"39.18580598","-86.58036153","1848 N Pioneer LN","unknown"
"39.18221228","-86.58232739","1800 N Curry PIKE","unknown"
"39.17948395","-86.58250197","1500 N Curry PIKE","unknown"
"39.17808587","-86.58492471","4265 W Vernal PIKE","unknown"
"39.1793785","-86.58608674","4250 W Vernal PIKE","unknown"
"39.17884557","-86.58924412","4355 W Vernal PIKE","unknown"
"39.17872791","-86.58869112","4347 W Vernal PIKE","unknown"
"39.17946643","-86.58868242","4344 W Vernal PIKE","unknown"
"39.17945558","-86.5880687","4314 W Vernal PIKE","unknown"
"39.18003275","-86.59080207","4388 W Vernal PIKE","unknown"
"39.17236397","-86.49048491","646 N Woodbridge DR","unknown"
"39.181233","-86.591985","4444 W Vernal PIKE","unknown"
"39.18146","-86.591946","4454 A W Vernal PIKE","unknown"
"39.181732","-86.591838","4458 C W Vernal PIKE","unknown"
"39.18446973","-86.59149079","4554 W Vernal PIKE","unknown"
"39.19385621","-86.57979254","2408 N Smith PIKE","unknown"
"39.193184","-86.577366","4010 W Woodyard RD","unknown"
"39.18947979","-86.57851838","4110 W Woodyard RD","unknown"
"39.18979537","-86.58038602","4212 W Woodyard RD","unknown"
"39.19023383","-86.58083096","4290 W Woodyard RD","unknown"
"39.18931412","-86.58020599","4203 W Woodyard RD","unknown"
"39.17238564","-86.49042829","648 N Woodbridge DR","unknown"
"39.18885282","-86.58019517","1920 N Pioneer LN","unknown"
"39.18914672","-86.57958977","4141 W Woodyard RD","unknown"
"39.18871962","-86.57796639","4107 W Woodyard RD","unknown"
"39.18868912","-86.57789605","4105 W Woodyard RD","unknown"
"39.18862209","-86.57763545","4017 W Woodyard RD","unknown"
"39.18862174","-86.57755431","4013 W Woodyard RD","unknown"
"39.18941667","-86.57599626","2900 N Stone Carver DR","unknown"
"39.18698358","-86.58030728","1840 N Pioneer LN","unknown"
"39.18779624","-86.58030148","1844 N Pioneer LN","unknown"
"39.188068","-86.58028896","1850 N Pioneer LN","unknown"
"39.17236059","-86.49036148","650 N Woodbridge DR","unknown"
"39.18835612","-86.58025163","1900 N Pioneer LN","unknown"
"39.18784341","-86.57283942","3812 W Woodyard RD","unknown"
"39.18761439","-86.57258001","3800 W Woodyard RD","unknown"
"39.18706968","-86.57295792","3791 W Woodyard RD","unknown"
"39.18577378","-86.5717043","3721 W Woodyard RD","unknown"
"39.18550122","-86.57153341","3609 W Woodyard RD","unknown"
"39.18520896","-86.5712533","3605 W Woodyard RD","unknown"
"39.18604341","-86.57120844","3720 W Woodyard RD","unknown"
"39.18568768","-86.5708547","3704 W Woodyard RD","unknown"
"39.18563273","-86.57022361","3722 W Woodyard RD","unknown"
"39.17254455","-86.49036346","652 N Woodbridge DR","unknown"
"39.18495488","-86.57029204","3534 W Woodyard RD","unknown"
"39.18457239","-86.57009726","3522 W Woodyard RD","unknown"
"39.18405744","-86.57037265","3503 W Woodyard RD","unknown"
"39.18370246","-86.57018826","3421 W Woodyard RD","unknown"
"39.1833005","-86.56993718","3401 W Woodyard RD","unknown"
"39.18345577","-86.56779469","3260 W Woodyard RD","unknown"
"39.18244599","-86.56792553","3250 W Woodyard RD","unknown"
"39.18199481","-86.56896245","3255 W Woodyard RD","unknown"
"39.18184","-86.566818","3100 W Woodyard RD","unknown"
"39.18211204","-86.56629464","1608 N Lane DR","unknown"
"39.17259123","-86.49036307","654 N Woodbridge DR","unknown"
"39.18266617","-86.56680563","1613 N Lane DR","unknown"
"39.18299793","-86.56608707","1616 N Lane DR","unknown"
"39.18332546","-86.56626811","1618 N Lane DR","unknown"
"39.17901645","-86.56413728","2905 B W Vernal PIKE","unknown"
"39.17901957","-86.56422192","2905 A W Vernal PIKE","unknown"
"39.17898252","-86.56453262","2925 W Vernal PIKE","unknown"
"39.17958585","-86.56499383","2904 W Vernal PIKE","unknown"
"39.17892949","-86.56495632","2935 W Vernal PIKE","unknown"
"39.17940993","-86.56618391","3030 W Vernal PIKE","unknown"
"39.17948579","-86.56657492","3038 W Vernal PIKE","unknown"
"39.17265145","-86.49032729","656 N Woodbridge DR","unknown"
"39.1795094","-86.56694514","3110 W Vernal PIKE","unknown"
"39.17951245","-86.567633","3118 W Vernal PIKE","unknown"
"39.17873497","-86.56320103","2827 W Vernal PIKE","unknown"
"39.1788145","-86.56195169","2700 W Vernal PIKE","unknown"
"39.17898655","-86.56235961","2714 W Vernal PIKE","unknown"
"39.17787858","-86.5620221","2638 W Vernal PIKE","unknown"
"39.177629","-86.562129","2634 W Vernal PIKE","unknown"
"39.17806364","-86.56349876","2801 W Hensonburg RD","unknown"
"39.17785323","-86.56249144","2810 W Hensonburg RD","unknown"
"39.17857945","-86.56280356","2821 W Hensonburg RD","unknown"
"39.17275043","-86.49035468","660 N Woodbridge DR","unknown"
"39.17893992","-86.56916814","3299 W Vernal PIKE","unknown"
"39.17950421","-86.57012","3350 W Vernal PIKE","unknown"
"39.17895578","-86.57027568","3349 W Vernal PIKE","unknown"
"39.17951502","-86.57070551","3412 W Vernal PIKE","unknown"
"39.17896202","-86.57106933","3425 W Vernal PIKE","unknown"
"39.1790485","-86.57200704","3519 W Vernal PIKE","unknown"
"39.17960824","-86.57317767","3640 W Vernal PIKE","unknown"
"39.17902417","-86.57271978","3633 W Vernal PIKE","unknown"
"39.178861","-86.573591","3639 W Vernal PIKE","unknown"
"39.17896147","-86.57407481","1320 N Logan RD","unknown"
"39.17290955","-86.49033218","666 N Woodbridge DR","unknown"
"39.17893054","-86.57453715","1315 N Logan RD","unknown"
"39.17851583","-86.57450839","1309 N Logan RD","unknown"
"39.17810756","-86.57406686","1218 N Logan RD","unknown"
"39.17783567","-86.57404766","1212 N Logan RD","unknown"
"39.17780886","-86.5748239","1207 N Logan RD","unknown"
"39.17751175","-86.57406058","1206 N Logan RD","unknown"
"39.17728115","-86.57406577","1200 N Logan RD","unknown"
"39.17730263","-86.57458416","1201 N Logan RD","unknown"
"39.17699283","-86.57405727","1180 N Logan RD","unknown"
